sim_category	demography	gtex_n	replicates	causal_min_maf	n_gwas_traits	n_causal_tested	n_gwas_cpip_tested	n_gtex_cpip_tested	fm_filtered	fm_r2	params_source	gwas_mult	gtex_mult	enloc_pow_rcp50	enloc_fp_rcp50	enloc_pow_rcp90	enloc_fp_rcp90	enloc_pow_lcp50	enloc_fp_lcp50	enloc_pow_lcp90	enloc_fp_lcp90	enloc_hit_med_gtex_sigs_rcp50	enloc_hit_med_gtex_sigs_rcp90	enloc_hit_med_gtex_sigs_lcp50	enloc_hit_med_gtex_sigs_lcp90	auc_enloc_50	auc_enloc_90	gwas_cpip_50	gtex_cpip_50	gwas_cpip_90	gtex_cpip_90	gwas_mean_cs_all	gwas_mean_cs_causative	gtex_mean_cs_all	gtex_mean_cs_causative	gwas_median_cs_all	gwas_median_cs_causative	gtex_median_cs_all	gtex_median_cs_causative
A	human	1000	1	0.01	50	50	50	50	True	0.75	inferred	35	35	36	3	35	1	36	3	35	1	1.0	1	1.0	1	0.83	0.84	45	31	42	28	1.67	1.91	1.67	2.0	1	1.0	1.0	1.0
A	human	500	1	0.01	50	50	50	50	True	0.75	inferred	5	5	2	5	1	0	2	5	1	0	1.0	1	1.0	1	0.47	0.51	9	0	6	0	1.86	3.1	1.65	3.0	1.0	2.0	1	3.0
A	human	500	1	0.01	50	50	50	50	True	0.75	inferred	5	20	14	1	10	0	14	1	10	0	1.0	1.0	1.0	1.0	0.63	0.6	9	10	6	7	1.86	3.1	1.95	2.72	1.0	2.0	1.0	2
A	human	500	1	0.01	50	50	50	50	True	0.75	inferred	10	10	6	7	5	4	6	7	5	4	1.0	1	1.0	1	0.49	0.51	25	2	21	1	1.91	2.78	1.78	2.6	1	2.0	1	2.0
A	human	500	1	0.01	50	50	50	50	True	0.75	inferred	15	15	17	6	15	4	17	6	15	4	1	1	1	1	0.61	0.61	36	6	30	5	1.78	2.2	1.99	3.05	1	2	1.0	2
A	human	500	1	0.01	50	50	50	50	True	0.75	inferred	20	20	24	2	23	2	24	2	23	2	1.0	1	1.0	1	0.72	0.71	40	10	39	7	1.69	2.02	1.95	2.72	1	1	1.0	2
A	human	500	1	0.01	50	50	50	50	True	0.75	inferred	35	35	30	1	30	1	30	1	30	1	1.0	1.0	1.0	1.0	0.79	0.79	45	27	42	19	1.67	1.91	1.91	2.26	1	1.0	1.0	2
A	human	1000	5	0.001	250	113	110	113	True	0.75	params	5	20	32	29	26	4	32	29	26	4	1.0	1.0	1.0	1.0	0.506	0.544	15	31	11	21	2.09	3.18	2.0	2.74	1.0	2	1	2.0
A	human	500	5	0.001	250	110	110	110	True	0.75	params	5	20	21	23	17	5	21	23	17	5	1	1	1	1	0.496	0.524	15	15	11	10	2.09	3.18	2.1	2.93	1.0	2	1	2.0
E	cattle	1000	1	0.01	50	50	50	50	False	0.25	inferred	5	5	3	7	2	1	3	7	2	1	1	1.0	1	1.0	0.46	0.51	9	2	8	1	15.04	26.54	15.79	41.92	5	18.0	9	37.0
E	cattle	1000	1	0.01	50	50	50	50	False	0.25	inferred	5	20	19	9	11	6	19	9	12	5	2	1	2	1.5	0.6	0.55	9	24	8	20	15.04	26.54	15.39	29.9	5	18.0	8	20.5
E	cattle	1000	1	0.01	50	50	50	50	False	0.25	inferred	10	10	15	14	11	6	15	14	11	6	2	1	2	1	0.51	0.55	31	11	27	5	12.15	19.08	16.28	29.48	3.0	15	9.0	20
E	cattle	1000	1	0.01	50	50	50	50	False	0.25	inferred	15	15	21	13	15	8	21	13	17	10	2	1	2	1	0.58	0.57	38	18	35	12	11.58	14.98	15.19	26.9	4	9	8.0	20
E	cattle	1000	1	0.01	50	50	50	50	False	0.25	inferred	20	20	29	12	20	8	29	13	22	10	2	1.0	2	1.0	0.67	0.62	46	24	43	20	9.69	11.52	15.39	29.9	4.0	6.0	8	20.5
E	cattle	1000	1	0.01	50	50	50	50	False	0.25	inferred	35	35	37	6	36	6	37	6	36	6	2	1.0	2	1.0	0.81	0.8	49	38	48	32	8.85	10.8	11.69	16.81	3	5.5	5	11
E	cattle	500	1	0.01	50	50	50	50	False	0.25	inferred	5	5	3	20	1	5	3	20	1	5	1	1	1	1	0.33	0.46	9	3	8	1	15.04	26.54	16.96	42.08	5	18.0	10	31.0
E	cattle	500	1	0.01	50	50	50	50	False	0.25	inferred	5	20	12	16	8	6	12	16	9	7	3.0	2.0	3.0	3	0.46	0.52	9	14	8	10	15.04	26.54	18.35	32.07	5	18.0	10	21
E	cattle	500	1	0.01	50	50	50	50	False	0.25	inferred	10	10	7	21	6	11	7	21	6	11	2	1.0	2	1.0	0.36	0.45	31	6	27	1	12.15	19.08	16.88	27.12	3.0	15	11.0	19.5
E	cattle	500	1	0.01	50	50	50	50	False	0.25	inferred	15	15	16	20	10	15	16	20	11	16	2.5	1.0	2.5	1	0.46	0.45	38	11	35	6	11.58	14.98	18.76	36.38	4	9	10.5	25.0
E	cattle	500	1	0.01	50	50	50	50	False	0.25	inferred	20	20	20	14	16	8	20	15	17	9	2.0	1.0	2.0	1	0.56	0.58	46	14	43	10	9.69	11.52	18.35	32.07	4.0	6.0	10	21
