comparison	stratifier	species	stratum	stratum_idx	n_ieqtl	n_bulk_sig	n_bulk_emt	n_bulk_nom	n_bulk_pair	median_z_g	n_samples	n_pairs	rate	rate_emt	rate_nom	rate_pair	ci_lo	ci_hi
lung_epithelium	tss_distance	human	100-250kb	4	6	1	1	3	1	1.68579199823441	515	1	0.166666666666667	0.166666666666667	0.5	0.166666666666667	0.0300533697483066	0.56350282218647
lung_epithelium	tss_distance	human	250-500kb	5	2	1	1	1	1	2.79669581348891	515	1	0.5	0.5	0.5	0.5	0.0945312057342307	0.905468794265769
lung_epithelium	tss_distance	human	500kb-1Mb	6	2	0	0	1	0	1.73932861243144	515	1	0	0	0.5	0	0	0.657619772493347
lung_epithelium	tss_distance	pig	<10kb	1	6	0	0	1	0	1.03663009635641	149	2	0	0	0.166666666666667	0	0	0.390334287902165
lung_epithelium	tss_distance	pig	10-50kb	2	16	0	0	4	0	1.23783183037531	149	2	0	0	0.25	0	0	0.193607680534436
lung_epithelium	tss_distance	pig	50-100kb	3	20	0	0	7	0	1.62136047553539	149	2	0	0	0.35	0	1.38777878078145e-17	0.161125158052819
lung_epithelium	tss_distance	pig	100-250kb	4	54	1	1	19	1	1.5271303188661	149	2	0.0185185185185185	0.0185185185185185	0.351851851851852	0.0185185185185185	0.00327648771822906	0.0977143748878193
lung_epithelium	tss_distance	pig	250-500kb	5	77	2	2	23	0	1.39701378303376	149	2	0.025974025974026	0.025974025974026	0.298701298701299	0	0.00715215980789318	0.0898458277975313
lung_epithelium	tss_distance	pig	500kb-1Mb	6	128	1	1	35	1	1.15512514963972	149	2	0.0078125	0.0078125	0.2734375	0.0078125	0.00138043189287424	0.0429262594388606
lung_epithelium	maf	human	[0.1,0.2]	1	12	8	8	10	8	8.21207951685626	515	1	0.666666666666667	0.666666666666667	0.833333333333333	0.666666666666667	0.3906220888728	0.861879908908787
lung_epithelium	maf	human	(0.2,0.3]	2	16	13	13	14	13	11.9833598364509	515	1	0.8125	0.8125	0.875	0.8125	0.569911190380259	0.934084009285719
lung_epithelium	maf	human	(0.3,0.4]	3	18	13	13	15	13	7.11313415295781	515	1	0.722222222222222	0.722222222222222	0.833333333333333	0.722222222222222	0.491273434397025	0.87500246620446
lung_epithelium	maf	human	(0.4,0.5]	4	20	17	16	18	16	9.27819518301542	515	1	0.85	0.8	0.9	0.8	0.639581135259243	0.947631254103784
lung_epithelium	maf	pig	[0.1,0.2]	1	77	1	1	24	1	1.4128093041909	149	2	0.012987012987013	0.012987012987013	0.311688311688312	0.012987012987013	0.00229621729712404	0.0699619891468052
lung_epithelium	maf	pig	(0.2,0.3]	2	74	1	1	22	0	1.16003002859281	149	2	0.0135135135135135	0.0135135135135135	0.297297297297297	0	0.00238946340345683	0.0726535651984323
lung_epithelium	maf	pig	(0.3,0.4]	3	87	2	2	29	1	1.48825933119609	149	2	0.0229885057471264	0.0229885057471264	0.333333333333333	0.0114942528735632	0.00632708510592601	0.0799931801396141
lung_epithelium	maf	pig	(0.4,0.5]	4	63	0	0	14	0	1.21878108908436	149	2	0	0	0.222222222222222	0	3.46944695195361e-18	0.0574711995888517
brain_neurons	overall	human	all	1	39	28	28	34	28	8.32281733120919	184	7	0.717948717948718	0.717948717948718	0.871794871794872	0.717948717948718	0.562246805169792	0.834565079111523
brain_neurons	overall	pig	all	1	3226	225	166	914	204	1.23907689331606	419	1	0.0697458152510849	0.0514569125852449	0.283323000619963	0.0632362058276503	0.061458145128777	0.0790569434930665
brain_neurons	tss_distance	human	<10kb	1	16	11	11	15	11	9.85673043086529	186	7	0.6875	0.6875	0.9375	0.6875	0.444043558347407	0.85835356145218
brain_neurons	tss_distance	human	10-50kb	2	9	8	8	9	8	7.44643923897106	182	5	0.888888888888889	0.888888888888889	1	0.888888888888889	0.565000294423344	0.980109112361455
brain_neurons	tss_distance	human	50-100kb	3	4	4	4	4	4	15.3892708501223	192	3	1	1	1	1	0.510109163545403	1
brain_neurons	tss_distance	human	100-250kb	4	1	1	1	1	1	14.1801077775084	175	1	1	1	1	1	0.206549314377237	1
brain_neurons	tss_distance	human	250-500kb	5	3	3	3	3	3	28.2892879990968	194	3	1	1	1	1	0.438502968244955	1
brain_neurons	tss_distance	human	500kb-1Mb	6	6	1	1	2	1	1.87286447432284	176	3	0.166666666666667	0.166666666666667	0.333333333333333	0.166666666666667	0.0300533697483066	0.56350282218647
brain_neurons	tss_distance	pig	<10kb	1	71	15	12	31	14	1.50961645980096	419	1	0.211267605633803	0.169014084507042	0.436619718309859	0.197183098591549	0.132425514176991	0.319749782162058
brain_neurons	tss_distance	pig	10-50kb	2	246	44	39	101	42	1.66434216974157	419	1	0.178861788617886	0.158536585365854	0.410569105691057	0.170731707317073	0.136022945909829	0.231576007659389
brain_neurons	tss_distance	pig	50-100kb	3	233	25	17	84	22	1.45923121957479	419	1	0.107296137339056	0.0729613733905579	0.360515021459227	0.0944206008583691	0.0737389657373259	0.153592258655511
brain_neurons	tss_distance	pig	100-250kb	4	562	42	33	170	38	1.28007287496474	419	1	0.0747330960854093	0.0587188612099644	0.302491103202847	0.0676156583629893	0.0557620972363316	0.0994783105693637
brain_neurons	tss_distance	pig	250-500kb	5	702	34	22	185	29	1.23294482024567	419	1	0.0484330484330484	0.0313390313390313	0.263532763532764	0.0413105413105413	0.0348636578093754	0.0669176387167955
brain_neurons	tss_distance	pig	500kb-1Mb	6	1412	65	43	343	59	1.13505294096609	419	1	0.0460339943342776	0.0304532577903683	0.242917847025496	0.0417847025495751	0.0362808487573247	0.0582505396173141
brain_neurons	maf	human	[0.1,0.2]	1	8	6	6	7	6	6.91073267131116	193	4	0.75	0.75	0.875	0.75	0.409275430310169	0.928520787247891
brain_neurons	maf	human	(0.2,0.3]	2	4	3	3	4	3	10.0746608939042	172	4	0.75	0.75	1	0.75	0.300641842582402	0.954412739190299
brain_neurons	maf	human	(0.3,0.4]	3	18	11	11	15	11	6.68729586761113	183	7	0.611111111111111	0.611111111111111	0.833333333333333	0.611111111111111	0.386190416022379	0.796947534278364
brain_neurons	maf	human	(0.4,0.5]	4	9	8	8	8	8	15.3160335032035	185	5	0.888888888888889	0.888888888888889	0.888888888888889	0.888888888888889	0.565000294423344	0.980109112361455
brain_neurons	maf	pig	[0.1,0.2]	1	1201	78	52	360	68	1.2424799649517	419	1	0.0649458784346378	0.0432972522897585	0.299750208159867	0.0566194837635304	0.0523492068816366	0.0803167614501205
brain_neurons	maf	pig	(0.2,0.3]	2	780	46	32	198	44	1.20351067038698	419	1	0.058974358974359	0.041025641025641	0.253846153846154	0.0564102564102564	0.0445029774678542	0.0777685070806789
brain_neurons	maf	pig	(0.3,0.4]	3	664	51	40	179	46	1.1873726244547	419	1	0.0768072289156627	0.0602409638554217	0.269578313253012	0.0692771084337349	0.0588995957864277	0.0995833157231302
brain_neurons	maf	pig	(0.4,0.5]	4	581	50	42	177	46	1.32341310952669	419	1	0.0860585197934596	0.072289156626506	0.304647160068847	0.0791738382099828	0.0658861469530634	0.111668739511528
pooled_rankmatched	overall	human	all	1	778	633	627	690	629	11.1680810799222	430	32	0.813624678663239	0.805912596401028	0.886889460154242	0.808483290488432	0.784744521972422	0.83942294125738
pooled_rankmatched	overall	pig	all	1	2402	399	336	973	378	1.54007352624669	377	41	0.166111573688593	0.139883430474605	0.405079100749376	0.15736885928393	0.151763177634448	0.181526223411016
pooled_rankmatched	tss_distance	human	<10kb	1	300	274	271	290	272	13.7845547792808	432	27	0.913333333333333	0.903333333333333	0.966666666666667	0.906666666666667	0.876044041305752	0.940171102481957
pooled_rankmatched	tss_distance	human	10-50kb	2	254	229	227	244	229	11.8079159515431	436	24	0.901574803149606	0.893700787401575	0.960629921259842	0.901574803149606	0.858742834099763	0.932441023349105
pooled_rankmatched	tss_distance	human	50-100kb	3	89	71	70	80	69	9.81670739835592	424	20	0.797752808988764	0.786516853932584	0.898876404494382	0.775280898876405	0.702803480163085	0.868062172673754
pooled_rankmatched	tss_distance	human	100-250kb	4	61	44	44	48	44	8.28356970464255	426	19	0.721311475409836	0.721311475409836	0.786885245901639	0.721311475409836	0.598285694118299	0.81811456107434
pooled_rankmatched	tss_distance	human	250-500kb	5	33	14	14	18	14	2.13583561157115	430	20	0.424242424242424	0.424242424242424	0.545454545454545	0.424242424242424	0.272355966334102	0.591927366626876
pooled_rankmatched	tss_distance	human	500kb-1Mb	6	41	1	1	10	1	1.13225046095777	399	17	0.024390243902439	0.024390243902439	0.24390243902439	0.024390243902439	0.00431853156891241	0.125950620557742
pooled_rankmatched	tss_distance	pig	<10kb	1	80	31	30	53	30	3.21185470398792	378	28	0.3875	0.375	0.6625	0.375	0.288245651253051	0.497063427892443
pooled_rankmatched	tss_distance	pig	10-50kb	2	222	65	57	117	64	2.10461257966834	384	36	0.292792792792793	0.256756756756757	0.527027027027027	0.288288288288288	0.236865588731694	0.355768994482529
pooled_rankmatched	tss_distance	pig	50-100kb	3	208	51	42	90	47	1.59725608085128	380	36	0.245192307692308	0.201923076923077	0.432692307692308	0.225961538461538	0.191697502394339	0.30792829989151
pooled_rankmatched	tss_distance	pig	100-250kb	4	416	82	74	176	81	1.56681750453944	378	37	0.197115384615385	0.177884615384615	0.423076923076923	0.194711538461538	0.16173263821598	0.238040788858491
pooled_rankmatched	tss_distance	pig	250-500kb	5	560	83	59	232	78	1.54064982063357	382	37	0.148214285714286	0.105357142857143	0.414285714285714	0.139285714285714	0.121185416035065	0.180036596223358
pooled_rankmatched	tss_distance	pig	500kb-1Mb	6	916	87	74	305	78	1.35771890707095	372	39	0.0949781659388646	0.0807860262008734	0.332969432314411	0.0851528384279476	0.0776475975178226	0.11569165362737
pooled_rankmatched	maf	human	[0.1,0.15]	1	69	46	45	53	45	7.35039683629473	437	23	0.666666666666667	0.652173913043478	0.768115942028986	0.652173913043478	0.549264754287183	0.766489492983133
pooled_rankmatched	maf	human	(0.15,0.2]	2	83	60	60	67	60	8.76636961214307	442	20	0.72289156626506	0.72289156626506	0.807228915662651	0.72289156626506	0.618383055223683	0.807680722405799
pooled_rankmatched	maf	human	(0.2,0.25]	3	82	64	64	72	64	11.5368744111338	437	19	0.780487804878049	0.780487804878049	0.878048780487805	0.780487804878049	0.67947945762323	0.856392143721348
pooled_rankmatched	maf	human	(0.25,0.3]	4	102	84	83	91	84	9.79490586689633	423	24	0.823529411764706	0.813725490196078	0.892156862745098	0.823529411764706	0.738217323397782	0.885356848154506
pooled_rankmatched	maf	human	(0.3,0.35]	5	128	107	106	117	107	11.4502059300651	411	25	0.8359375	0.828125	0.9140625	0.8359375	0.76218192396293	0.890116683540807
pooled_rankmatched	maf	human	(0.35,0.4]	6	98	84	84	90	83	13.1904414021056	429	24	0.857142857142857	0.857142857142857	0.918367346938776	0.846938775510204	0.774387569668705	0.912955294530095
pooled_rankmatched	maf	human	(0.4,0.45]	7	96	79	78	85	79	10.4626326288171	446	20	0.822916666666667	0.8125	0.885416666666667	0.822916666666667	0.734589594831919	0.886394921343332
pooled_rankmatched	maf	human	(0.45,0.5]	8	120	109	107	115	107	14.7580181763057	428	20	0.908333333333333	0.891666666666667	0.958333333333333	0.891666666666667	0.843291530273291	0.948042817151435
pooled_rankmatched	maf	pig	[0.1,0.15]	1	527	68	54	218	65	1.54074383618888	407	35	0.129032258064516	0.10246679316888	0.413662239089184	0.123339658444023	0.103072918538506	0.160360648107481
pooled_rankmatched	maf	pig	(0.15,0.2]	2	499	74	59	197	70	1.52675139656999	383	38	0.148296593186373	0.118236472945892	0.394789579158317	0.140280561122245	0.119804523823242	0.182162340994957
pooled_rankmatched	maf	pig	(0.2,0.25]	3	338	61	50	128	51	1.50750873724311	370	35	0.180473372781065	0.14792899408284	0.378698224852071	0.150887573964497	0.143137832280342	0.224990303068805
pooled_rankmatched	maf	pig	(0.25,0.3]	4	245	46	37	104	44	1.57693660071786	376	36	0.187755102040816	0.151020408163265	0.424489795918367	0.179591836734694	0.143815907709682	0.241334779297638
pooled_rankmatched	maf	pig	(0.3,0.35]	5	224	42	39	89	41	1.65534417552825	359	37	0.1875	0.174107142857143	0.397321428571429	0.183035714285714	0.141814814832654	0.243722827330282
pooled_rankmatched	maf	pig	(0.35,0.4]	6	227	42	38	101	42	1.63601801187823	353	35	0.185022026431718	0.167400881057269	0.444933920704846	0.185022026431718	0.139897263175225	0.240629957842404
pooled_rankmatched	maf	pig	(0.4,0.45]	7	177	34	31	77	34	1.56929742797434	364	33	0.192090395480226	0.175141242937853	0.435028248587571	0.192090395480226	0.140843659651823	0.256418446555391
pooled_rankmatched	maf	pig	(0.45,0.5]	8	165	32	28	59	31	1.29754167214422	352	34	0.193939393939394	0.16969696969697	0.357575757575758	0.187878787878788	0.140859369086902	0.260946320668126
lung_epithelium_rankmatched	overall	human	all	1	45	38	37	40	37	9.57729658694289	515	1	0.844444444444445	0.822222222222222	0.888888888888889	0.822222222222222	0.712160911276038	0.922545765152417
lung_epithelium_rankmatched	overall	pig	all	1	121	2	2	30	1	1.31635172380777	149	2	0.0165289256198347	0.0165289256198347	0.247933884297521	0.00826446280991736	0.00454459354612486	0.0582667424857343
brain_neurons_rankmatched	overall	human	all	1	19	14	14	17	14	11.8265044565993	180	7	0.736842105263158	0.736842105263158	0.894736842105263	0.736842105263158	0.512084491021849	0.881935876532175
brain_neurons_rankmatched	overall	pig	all	1	5	2	2	2	2	1.92014305191113	419	1	0.4	0.4	0.4	0.4	0.117620774232648	0.769275718723987
human_lowmaf	maf	human	0.05-0.10 (human only)	1	389	158	150	220	157	2.42924870090885	476	25	0.406169665809769	0.38560411311054	0.565552699228792	0.403598971722365	0.358513424337357	0.455660975128664
