gene_id	gene_biotype
ENSSSCG00000000504	protein_coding
ENSSSCG00000000509	protein_coding
ENSSSCG00000000510	protein_coding
ENSSSCG00000000512	protein_coding
ENSSSCG00000000515	protein_coding
ENSSSCG00000000516	protein_coding
ENSSSCG00000000517	protein_coding
ENSSSCG00000000519	protein_coding
ENSSSCG00000000521	protein_coding
ENSSSCG00000000522	protein_coding
ENSSSCG00000000523	protein_coding
ENSSSCG00000000527	protein_coding
ENSSSCG00000000528	protein_coding
ENSSSCG00000000530	protein_coding
ENSSSCG00000000531	protein_coding
ENSSSCG00000000534	protein_coding
ENSSSCG00000000536	protein_coding
ENSSSCG00000000540	protein_coding
ENSSSCG00000000541	protein_coding
ENSSSCG00000000545	protein_coding
ENSSSCG00000000546	protein_coding
ENSSSCG00000000547	protein_coding
ENSSSCG00000000549	protein_coding
ENSSSCG00000000550	protein_coding
ENSSSCG00000000551	protein_coding
ENSSSCG00000000553	protein_coding
ENSSSCG00000000554	protein_coding
ENSSSCG00000000555	protein_coding
ENSSSCG00000000559	protein_coding
ENSSSCG00000000563	protein_coding
ENSSSCG00000000567	protein_coding
ENSSSCG00000000570	protein_coding
ENSSSCG00000000571	protein_coding
ENSSSCG00000000573	protein_coding
ENSSSCG00000000576	protein_coding
ENSSSCG00000000577	protein_coding
ENSSSCG00000000579	protein_coding
ENSSSCG00000000580	protein_coding
ENSSSCG00000000582	protein_coding
ENSSSCG00000000583	protein_coding
ENSSSCG00000000584	protein_coding
ENSSSCG00000000585	protein_coding
ENSSSCG00000000587	protein_coding
ENSSSCG00000000588	protein_coding
ENSSSCG00000000589	pseudogene
ENSSSCG00000000590	protein_coding
ENSSSCG00000000591	protein_coding
ENSSSCG00000000598	protein_coding
ENSSSCG00000000599	protein_coding
ENSSSCG00000000600	protein_coding
ENSSSCG00000000601	protein_coding
ENSSSCG00000000602	protein_coding
ENSSSCG00000000605	protein_coding
ENSSSCG00000000607	protein_coding
ENSSSCG00000000610	protein_coding
ENSSSCG00000000611	protein_coding
ENSSSCG00000000612	protein_coding
ENSSSCG00000000614	protein_coding
ENSSSCG00000000619	protein_coding
ENSSSCG00000000623	protein_coding
ENSSSCG00000000625	protein_coding
ENSSSCG00000000629	protein_coding
ENSSSCG00000000631	protein_coding
ENSSSCG00000000633	protein_coding
ENSSSCG00000000634	protein_coding
ENSSSCG00000000635	protein_coding
ENSSSCG00000000636	protein_coding
ENSSSCG00000000638	protein_coding
ENSSSCG00000000639	protein_coding
ENSSSCG00000000640	protein_coding
ENSSSCG00000000642	protein_coding
ENSSSCG00000000645	protein_coding
ENSSSCG00000000647	protein_coding
ENSSSCG00000000648	protein_coding
ENSSSCG00000000649	protein_coding
ENSSSCG00000000650	protein_coding
ENSSSCG00000000651	protein_coding
ENSSSCG00000000653	protein_coding
ENSSSCG00000000656	protein_coding
ENSSSCG00000000657	protein_coding
ENSSSCG00000000659	protein_coding
ENSSSCG00000000660	protein_coding
ENSSSCG00000000661	protein_coding
ENSSSCG00000000663	protein_coding
ENSSSCG00000000664	protein_coding
ENSSSCG00000000665	protein_coding
ENSSSCG00000000667	protein_coding
ENSSSCG00000000668	protein_coding
ENSSSCG00000000669	protein_coding
ENSSSCG00000000672	protein_coding
ENSSSCG00000000679	protein_coding
ENSSSCG00000000680	protein_coding
ENSSSCG00000000681	protein_coding
ENSSSCG00000000682	protein_coding
ENSSSCG00000000683	protein_coding
ENSSSCG00000000684	protein_coding
ENSSSCG00000000685	protein_coding
ENSSSCG00000000687	protein_coding
ENSSSCG00000000688	protein_coding
ENSSSCG00000000690	protein_coding
ENSSSCG00000000691	protein_coding
ENSSSCG00000000692	protein_coding
ENSSSCG00000000693	protein_coding
